code_stock,year,predict_num,min_EPS,avg_EPS,max_EPS,avg_industry_EPS,min_RP,avg_RP,max_RP,avg_industry_RP
600000,2020,13,2.01,2.10,2.52,1.56,559.14,608.95,626.80,735.86
600000,2021,13,2.06,2.21,2.58,1.75,589.11,642.84,672.40,790.69
600000,2022,9,2.25,2.39,2.65,1.97,650.25,693.88,726.50,843.95
600004,2020,13,-0.24,0.14,0.58,0.35,-4.94,2.93,12.08,0.62
600004,2021,13,0.34,0.65,0.76,1.25,6.95,13.74,15.72,42.34
600004,2022,12,0.61,0.81,1.01,1.46,12.59,17.10,20.89,50.97
600009,2020,23,0.60,1.26,2.38,0.35,11.47,24.17,45.77,0.62
600009,2021,23,2.39,2.99,3.29,1.25,46.01,57.60,63.47,42.34
600009,2022,19,2.97,3.49,3.98,1.46,57.32,67.29,76.66,50.97
600011,2020,17,0.21,0.38,0.51,0.56,33.10,59.23,79.94,47.56
600011,2021,16,0.36,0.45,0.61,0.63,56.02,70.72,95.32,50.43
600011,2022,15,0.41,0.49,0.67,0.71,66.65,77.98,105.21,53.11
600015,2020,5,1.32,1.42,1.49,1.56,221.00,227.09,230.31,735.86
600015,2021,5,1.40,1.47,1.58,1.75,222.92,235.77,242.97,790.69
600015,2022,3,1.47,1.58,1.67,1.97,237.06,250.11,257.72,843.95
600016,2020,4,1.28,1.36,1.54,1.56,558.00,567.52,574.89,735.86
600016,2021,4,1.32,1.42,1.60,1.75,578.00,598.22,611.10,790.69
600016,2022,3,1.40,1.53,1.69,1.97,612.00,635.29,652.90,843.95
600018,2020,4,0.36,0.38,0.41,0.52,82.60,88.25,96.15,33.85
600018,2021,4,0.38,0.41,0.44,0.54,88.67,94.55,100.92,34.89
600018,2022,3,0.41,0.44,0.47,0.56,95.91,101.96,108.38,36.03
600019,2020,13,0.33,0.45,0.62,0.72,74.34,101.34,138.10,31.04
600019,2021,12,0.36,0.50,0.69,0.80,80.35,112.25,153.69,33.75
600019,2022,9,0.34,0.52,0.70,0.87,75.44,115.94,155.40,36.42
600023,2020,6,0.32,0.35,0.41,0.56,43.05,47.28,55.15,47.56
600023,2021,6,0.39,0.42,0.48,0.63,52.64,57.21,65.80,50.43
600023,2022,5,0.42,0.46,0.54,0.71,56.90,62.57,73.20,53.11
600025,2020,9,0.24,0.28,0.34,0.56,42.90,50.52,60.42,47.56
600025,2021,9,0.28,0.31,0.40,0.63,50.95,56.05,72.05,50.43
600025,2022,7,0.28,0.31,0.37,0.71,52.22,56.70,66.49,53.11
600027,2020,19,0.35,0.43,0.54,0.56,34.12,42.99,53.23,47.56
600027,2021,17,0.44,0.51,0.63,0.63,43.01,50.75,61.72,50.43
600027,2022,15,0.44,0.54,0.69,0.71,44.22,54.14,68.36,53.11
600028,2020,10,0.16,0.34,0.57,0.51,198.46,407.76,685.63,214.57
600028,2021,8,0.33,0.45,0.59,0.78,404.17,540.08,710.92,286.06
600028,2022,7,0.37,0.48,0.60,0.54,449.24,578.13,673.29,417.46
600029,2020,14,-0.98,-0.19,0.55,0.35,-125.99,-23.27,70.82,0.62
600029,2021,13,0.30,0.50,0.63,1.25,38.58,63.21,79.50,42.34
600029,2022,12,0.40,0.61,0.88,1.46,51.13,77.33,112.73,50.97
600030,2020,30,0.96,1.15,1.31,0.77,124.58,146.56,163.48,70.53
600030,2021,29,1.02,1.32,1.59,0.88,132.20,169.34,205.09,80.82
600030,2022,23,1.06,1.54,1.94,1.02,137.57,197.06,244.53,93.74
600031,2020,39,1.47,1.62,1.90,1.42,123.95,136.40,159.95,17.06
600031,2021,39,1.56,1.83,2.20,1.80,131.59,153.95,185.37,20.68
600031,2022,33,1.60,1.98,2.48,2.30,135.00,166.96,208.97,25.05
600036,2020,31,3.98,4.14,4.79,1.56,1004.61,1050.22,1225.42,735.86
600036,2021,31,4.44,4.70,5.52,1.75,1118.53,1191.15,1409.58,790.69
600036,2022,22,4.99,5.37,5.71,1.97,1258.00,1361.18,1449.31,843.95
600038,2020,24,1.16,1.24,1.38,0.61,6.82,7.28,8.13,17.97
600038,2021,24,1.34,1.50,1.89,0.75,7.90,8.83,11.15,19.43
600038,2022,20,1.55,1.78,2.61,0.97,9.12,10.50,15.35,24.07
600048,2020,30,2.58,2.76,2.97,2.28,308.27,329.50,355.53,134.53
600048,2021,30,2.88,3.25,3.59,2.73,344.02,388.35,428.33,157.75
600048,2022,26,3.40,3.83,4.37,3.30,406.02,456.96,521.10,189.18
600050,2020,21,0.17,0.20,0.26,1.80,53.68,63.47,79.49,28.77
600050,2021,21,0.19,0.25,0.30,2.36,58.88,79.37,93.56,36.50
600050,2022,17,0.27,0.32,0.39,3.17,83.72,97.95,121.50,52.02
600061,2020,4,0.73,0.76,0.78,0.77,30.69,32.45,33.66,70.53
600061,2021,4,0.74,0.82,0.86,0.88,31.29,35.23,37.70,80.82
600061,2022,3,0.75,0.89,0.96,1.02,31.75,37.37,40.38,93.74
600066,2020,19,0.69,0.87,1.11,1.11,15.38,19.34,24.63,34.51
600066,2021,18,0.76,1.00,1.34,1.35,16.86,22.21,29.75,41.23
